|     | gender   | race/ethnicity                     | parental level of education   | lunch        | test preparation   |   math score |   reading score |   writing score |   average score |
| 254 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           54 |              52 |              52 |         52.6667 |
| 255 | female   | Mixed - White and Black African    | some college                  | standard     | none               |           62 |              73 |              70 |         68.3333 |
| 256 | female   | White - Any other White background | associate's degree            | free/reduced | none               |           64 |              73 |              68 |         68.3333 |
| 257 | male     | White - Any other White background | associate's degree            | standard     | completed          |           78 |              77 |              77 |         77.3333 |
| 258 | female   | White - Irish                      | some college                  | standard     | none               |           70 |              75 |              78 |         74.3333 |
| 259 | female   | White - Any other White background | master's degree               | free/reduced | completed          |           65 |              81 |              81 |         75.6667 |
| 260 | female   | White - Any other White background | some high school              | free/reduced | completed          |           64 |              79 |              77 |         73.3333 |
| 261 | male     | White - Any other White background | some college                  | standard     | completed          |           79 |              79 |              78 |         78.6667 |
| 262 | female   | White - Any other White background | some high school              | free/reduced | none               |           44 |              50 |              51 |         48.3333 |
| 263 | female   | Mixed - White and Black African    | high school                   | standard     | none               |           99 |              93 |              90 |         94      |
| 264 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           76 |              73 |              68 |         72.3333 |
| 265 | male     | Mixed - White and Black Caribbean  | some high school              | free/reduced | none               |           59 |              42 |              41 |         47.3333 |
| 266 | female   | White - Any other White background | bachelor's degree             | standard     | none               |           63 |              75 |              81 |         73      |
| 267 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           69 |              72 |              77 |         72.6667 |
| 268 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | completed          |           88 |              92 |              95 |         91.6667 |
| 269 | female   | Mixed - White and Black African    | some college                  | free/reduced | none               |           71 |              76 |              70 |         72.3333 |
| 270 | male     | White - Any other White background | bachelor's degree             | standard     | none               |           69 |              63 |              61 |         64.3333 |
| 271 | male     | White - Any other White background | some college                  | standard     | none               |           58 |              49 |              42 |         49.6667 |
| 272 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           47 |              53 |              58 |         52.6667 |
| 273 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           65 |              70 |              71 |         68.6667 |
| 274 | male     | White - Irish                      | some college                  | standard     | completed          |           88 |              85 |              76 |         83      |
| 275 | male     | White - Any other White background | bachelor's degree             | standard     | none               |           83 |              78 |              73 |         78      |
| 276 | female   | White - Any other White background | some high school              | standard     | completed          |           85 |              92 |              93 |         90      |
| 277 | female   | Mixed - White and Black African    | high school                   | standard     | completed          |           59 |              63 |              75 |         65.6667 |
| 278 | female   | White - Any other White background | some high school              | free/reduced | none               |           65 |              86 |              80 |         77      |
| 279 | male     | White - Irish                      | bachelor's degree             | free/reduced | none               |           73 |              56 |              57 |         62      |
| 280 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           53 |              52 |              42 |         49      |
| 281 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           45 |              48 |              46 |         46.3333 |
| 282 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | free/reduced | none               |           73 |              79 |              84 |         78.6667 |
| 283 | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | completed          |           70 |              78 |              78 |         75.3333 |
| 284 | female   | White - Irish                      | some high school              | standard     | none               |           37 |              46 |              46 |         43      |
| 285 | male     | White - Irish                      | associate's degree            | standard     | completed          |           81 |              82 |              82 |         81.6667 |
| 286 | male     | Mixed - White and Black African    | associate's degree            | standard     | completed          |           97 |              82 |              88 |         89      |
| 287 | female   | White - Irish                      | some high school              | standard     | none               |           67 |              89 |              82 |         79.3333 |
| 288 | male     | White - Irish                      | bachelor's degree             | free/reduced | none               |           88 |              75 |              76 |         79.6667 |
| 289 | male     | Mixed - White and Black African    | some high school              | standard     | completed          |           77 |              76 |              77 |         76.6667 |
| 290 | male     | White - Any other White background | associate's degree            | standard     | none               |           76 |              70 |              68 |         71.3333 |
| 291 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           86 |              73 |              70 |         76.3333 |
| 292 | male     | White - Any other White background | some high school              | standard     | completed          |           63 |              60 |              57 |         60      |
| 293 | female   | Mixed - White and Black African    | bachelor's degree             | standard     | none               |           65 |              73 |              75 |         71      |
| 294 | male     | Mixed - White and Black Caribbean  | high school                   | free/reduced | completed          |           78 |              77 |              80 |         78.3333 |
| 295 | male     | White - Irish                      | associate's degree            | free/reduced | none               |           67 |              62 |              60 |         63      |
| 296 | male     | White - British                    | some high school              | standard     | completed          |           46 |              41 |              43 |         43.3333 |
| 297 | male     | Mixed - White and Black African    | associate's degree            | standard     | completed          |           71 |              74 |              68 |         71      |
| 298 | male     | White - Any other White background | high school                   | free/reduced | completed          |           40 |              46 |              50 |         45.3333 |
| 299 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           90 |              87 |              75 |         84      |
| 300 | male     | White - British                    | some college                  | free/reduced | completed          |           81 |              78 |              81 |         80      |
| 301 | male     | Mixed - White and Black Caribbean  | some high school              | free/reduced | none               |           56 |              54 |              52 |         54      |
| 302 | female   | White - Any other White background | associate's degree            | standard     | completed          |           67 |              84 |              81 |         77.3333 |
| 303 | male     | White - Irish                      | associate's degree            | standard     | none               |           80 |              76 |              64 |         73.3333 |
| 304 | female   | White - Any other White background | associate's degree            | standard     | completed          |           74 |              75 |              83 |         77.3333 |
| 305 | male     | White - British                    | some college                  | standard     | none               |           69 |              67 |              69 |         68.3333 |
| 306 | male     | Mixed - White and Black African    | some college                  | standard     | completed          |           99 |              87 |              81 |         89      |
| 307 | male     | White - Any other White background | some high school              | standard     | none               |           51 |              52 |              44 |         49      |
| 308 | female   | White - Irish                      | associate's degree            | free/reduced | none               |           53 |              71 |              67 |         63.6667 |
| 309 | female   | Mixed - White and Black Caribbean  | high school                   | free/reduced | none               |           49 |              57 |              52 |         52.6667 |
| 310 | female   | White - Irish                      | associate's degree            | standard     | none               |           73 |              76 |              80 |         76.3333 |
| 311 | male     | White - Irish                      | bachelor's degree             | standard     | none               |           66 |              60 |              57 |         61      |
| 312 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | completed          |           67 |              61 |              68 |         65.3333 |
| 313 | female   | White - Any other White background | associate's degree            | free/reduced | completed          |           68 |              67 |              69 |         68      |
| 314 | female   | White - Any other White background | bachelor's degree             | standard     | completed          |           59 |              64 |              75 |         66      |
| 315 | male     | White - Any other White background | high school                   | standard     | none               |           71 |              66 |              65 |         67.3333 |
| 316 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | completed          |           77 |              82 |              91 |         83.3333 |
| 317 | male     | White - Any other White background | associate's degree            | standard     | none               |           83 |              72 |              78 |         77.6667 |
| 318 | male     | White - Irish                      | bachelor's degree             | standard     | none               |           63 |              71 |              69 |         67.6667 |
| 319 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           56 |              65 |              63 |         61.3333 |
| 320 | female   | White - Any other White background | high school                   | free/reduced | completed          |           67 |              79 |              84 |         76.6667 |
| 321 | female   | Mixed - White and Black African    | high school                   | standard     | none               |           75 |              86 |              79 |         80      |
| 322 | female   | White - Any other White background | some college                  | standard     | none               |           71 |              81 |              80 |         77.3333 |
| 323 | female   | White - Any other White background | some high school              | free/reduced | none               |           43 |              53 |              53 |         49.6667 |
| 324 | female   | White - Any other White background | high school                   | free/reduced | none               |           41 |              46 |              43 |         43.3333 |
| 325 | female   | White - Any other White background | some college                  | standard     | none               |           82 |              90 |              94 |         88.6667 |
| 326 | male     | White - Any other White background | some college                  | standard     | none               |           61 |              61 |              62 |         61.3333 |
| 327 | male     | White - British                    | some college                  | free/reduced | none               |           28 |              23 |              19 |         23.3333 |
| 328 | male     | White - Any other White background | associate's degree            | standard     | completed          |           82 |              75 |              77 |         78      |
| 329 | female   | White - Irish                      | some high school              | standard     | none               |           41 |              55 |              51 |         49      |
| 330 | male     | White - Any other White background | high school                   | standard     | none               |           71 |              60 |              61 |         64      |
| 331 | male     | White - Any other White background | associate's degree            | standard     | none               |           47 |              37 |              35 |         39.6667 |
| 332 | male     | Mixed - White and Black African    | associate's degree            | standard     | completed          |           62 |              56 |              53 |         57      |
| 333 | male     | White - Irish                      | associate's degree            | standard     | none               |           90 |              78 |              81 |         83      |
| 334 | female   | White - Any other White background | bachelor's degree             | standard     | none               |           83 |              93 |              95 |         90.3333 |
| 335 | female   | White - Irish                      | some college                  | free/reduced | none               |           61 |              68 |              66 |         65      |
| 336 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           76 |              70 |              69 |         71.6667 |
| 337 | male     | White - Any other White background | associate's degree            | standard     | none               |           49 |              51 |              43 |         47.6667 |
| 338 | female   | White - Irish                      | some high school              | free/reduced | none               |           24 |              38 |              27 |         29.6667 |
| 339 | female   | Mixed - White and Black Caribbean  | some high school              | free/reduced | completed          |           35 |              55 |              60 |         50      |
| 340 | male     | White - Any other White background | high school                   | free/reduced | none               |           58 |              61 |              52 |         57      |
| 341 | female   | White - Any other White background | high school                   | standard     | none               |           61 |              73 |              63 |         65.6667 |
| 342 | female   | White - Irish                      | high school                   | standard     | completed          |           69 |              76 |              74 |         73      |
| 343 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | completed          |           67 |              72 |              67 |         68.6667 |
| 344 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           79 |              73 |              67 |         73      |
| 345 | female   | White - Any other White background | high school                   | standard     | none               |           72 |              80 |              75 |         75.6667 |
| 346 | male     | White - Irish                      | some college                  | standard     | none               |           62 |              61 |              57 |         60      |
| 347 | female   | White - Any other White background | bachelor's degree             | standard     | completed          |           77 |              94 |              95 |         88.6667 |
| 348 | male     | Mixed - White and Black Caribbean  | high school                   | free/reduced | none               |           75 |              74 |              66 |         71.6667 |
| 349 | male     | Mixed - White and Black African    | associate's degree            | standard     | none               |           87 |              74 |              76 |         79      |
| 350 | female   | White - Irish                      | bachelor's degree             | standard     | none               |           52 |              65 |              69 |         62      |
| 351 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           66 |              57 |              52 |         58.3333 |
| 352 | female   | White - Any other White background | some college                  | standard     | completed          |           63 |              78 |              80 |         73.6667 |
| 353 | female   | White - Any other White background | associate's degree            | standard     | none               |           46 |              58 |              57 |         53.6667 |
| 354 | female   | White - Any other White background | some college                  | standard     | none               |           59 |              71 |              70 |         66.6667 |
| 355 | female   | White - Irish                      | bachelor's degree             | standard     | none               |           61 |              72 |              70 |         67.6667 |
| 356 | male     | White - British                    | associate's degree            | standard     | none               |           63 |              61 |              61 |         61.6667 |
| 357 | female   | White - Any other White background | some college                  | free/reduced | completed          |           42 |              66 |              69 |         59      |
| 358 | male     | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           59 |              62 |              61 |         60.6667 |
| 359 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           80 |              90 |              89 |         86.3333 |
| 360 | female   | White - Irish                      | high school                   | standard     | none               |           58 |              62 |              59 |         59.6667 |
| 361 | male     | White - Irish                      | some high school              | standard     | completed          |           85 |              84 |              78 |         82.3333 |
| 362 | female   | White - Any other White background | some college                  | standard     | none               |           52 |              58 |              58 |         56      |
| 363 | female   | Mixed - White and Black Caribbean  | some high school              | free/reduced | none               |           27 |              34 |              32 |         31      |
| 364 | male     | White - Any other White background | some college                  | standard     | none               |           59 |              60 |              58 |         59      |
| 365 | male     | White - British                    | bachelor's degree             | free/reduced | completed          |           49 |              58 |              60 |         55.6667 |
| 366 | male     | White - Any other White background | high school                   | standard     | completed          |           69 |              58 |              53 |         60      |
| 367 | male     | White - Any other White background | bachelor's degree             | free/reduced | none               |           61 |              66 |              61 |         62.6667 |
| 368 | female   | White - British                    | some high school              | free/reduced | none               |           44 |              64 |              58 |         55.3333 |
| 369 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           73 |              84 |              85 |         80.6667 |
| 370 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           84 |              77 |              71 |         77.3333 |
| 371 | female   | White - Any other White background | some college                  | free/reduced | completed          |           45 |              73 |              70 |         62.6667 |
| 372 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           74 |              74 |              72 |         73.3333 |
| 373 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           82 |              97 |              96 |         91.6667 |
| 374 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           59 |              70 |              73 |         67.3333 |
| 375 | male     | Mixed - White and Black African    | associate's degree            | free/reduced | none               |           46 |              43 |              41 |         43.3333 |
| 376 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           80 |              90 |              82 |         84      |
| 377 | female   | Mixed - White and Black Caribbean  | master's degree               | free/reduced | completed          |           85 |              95 |             100 |         93.3333 |
| 378 | female   | White - British                    | some high school              | standard     | none               |           71 |              83 |              77 |         77      |
| 379 | male     | White - British                    | bachelor's degree             | standard     | none               |           66 |              64 |              62 |         64      |
| 380 | female   | White - Irish                      | associate's degree            | standard     | none               |           80 |              86 |              83 |         83      |
| 381 | male     | White - Any other White background | associate's degree            | standard     | completed          |           87 |             100 |              95 |         94      |
| 382 | male     | White - Any other White background | master's degree               | free/reduced | none               |           79 |              81 |              71 |         77      |
| 383 | female   | Mixed - White and Black African    | some high school              | free/reduced | none               |           38 |              49 |              45 |         44      |
| 384 | female   | White - British                    | some high school              | free/reduced | none               |           38 |              43 |              43 |         41.3333 |
| 385 | female   | Mixed - White and Black African    | some college                  | standard     | none               |           67 |              76 |              75 |         72.6667 |
| 386 | female   | Mixed - White and Black African    | bachelor's degree             | standard     | none               |           64 |              73 |              70 |         69      |
| 387 | female   | White - Any other White background | associate's degree            | free/reduced | none               |           57 |              78 |              67 |         67.3333 |
| 388 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           62 |              64 |              64 |         63.3333 |
| 389 | male     | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           73 |              70 |              75 |         72.6667 |
| 390 | male     | Mixed - White and Black African    | some high school              | free/reduced | completed          |           73 |              67 |              59 |         66.3333 |
| 391 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           77 |              68 |              77 |         74      |
| 392 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           76 |              67 |              67 |         70      |
| 393 | male     | White - Any other White background | associate's degree            | standard     | completed          |           57 |              54 |              56 |         55.6667 |
| 394 | female   | White - Any other White background | some high school              | standard     | completed          |           65 |              74 |              77 |         72      |
| 395 | male     | White - British                    | high school                   | free/reduced | none               |           48 |              45 |              41 |         44.6667 |
| 396 | female   | White - Irish                      | high school                   | free/reduced | none               |           50 |              67 |              63 |         60      |
| 397 | female   | White - Any other White background | associate's degree            | standard     | none               |           85 |              89 |              95 |         89.6667 |
| 398 | male     | White - Irish                      | some high school              | standard     | none               |           74 |              63 |              57 |         64.6667 |
| 399 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           60 |              59 |              54 |         57.6667 |
| 400 | female   | White - Any other White background | some high school              | standard     | completed          |           59 |              54 |              67 |         60      |
| 401 | male     | White - British                    | some college                  | standard     | none               |           53 |              43 |              43 |         46.3333 |
| 402 | female   | White - British                    | some college                  | free/reduced | none               |           49 |              65 |              55 |         56.3333 |
| 403 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | completed          |           88 |              99 |             100 |         95.6667 |
| 404 | female   | White - Any other White background | high school                   | standard     | none               |           54 |              59 |              62 |         58.3333 |
| 405 | female   | White - Any other White background | some high school              | standard     | none               |           63 |              73 |              68 |         68      |
| 406 | male     | White - Irish                      | associate's degree            | standard     | completed          |           65 |              65 |              63 |         64.3333 |
| 407 | female   | White - Irish                      | associate's degree            | standard     | none               |           82 |              80 |              77 |         79.6667 |
| 408 | female   | Mixed - White and Black Caribbean  | high school                   | free/reduced | completed          |           52 |              57 |              56 |         55      |
| 409 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | completed          |           87 |              84 |              85 |         85.3333 |
| 410 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | completed          |           70 |              71 |              74 |         71.6667 |
| 411 | male     | Mixed - White and Black African    | some college                  | standard     | completed          |           84 |              83 |              78 |         81.6667 |
| 412 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           71 |              66 |              60 |         65.6667 |
| 413 | male     | White - Irish                      | some high school              | standard     | completed          |           63 |              67 |              67 |         65.6667 |
| 414 | female   | White - Any other White background | bachelor's degree             | free/reduced | completed          |           51 |              72 |              79 |         67.3333 |
| 415 | male     | Mixed - White and Black African    | high school                   | standard     | none               |           84 |              73 |              69 |         75.3333 |
| 416 | male     | White - Any other White background | bachelor's degree             | standard     | completed          |           71 |              74 |              68 |         71      |
| 417 | male     | White - Any other White background | associate's degree            | standard     | none               |           74 |              73 |              67 |         71.3333 |
| 418 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           68 |              59 |              62 |         63      |
| 419 | male     | Mixed - White and Black African    | high school                   | free/reduced | completed          |           57 |              56 |              54 |         55.6667 |
| 420 | female   | White - Any other White background | associate's degree            | free/reduced | completed          |           82 |              93 |              93 |         89.3333 |
| 421 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | completed          |           57 |              58 |              64 |         59.6667 |
| 422 | female   | Mixed - White and Black Caribbean  | master's degree               | free/reduced | completed          |           47 |              58 |              67 |         57.3333 |
| 423 | female   | White - British                    | some high school              | standard     | completed          |           59 |              85 |              80 |         74.6667 |
| 424 | male     | White - Irish                      | some college                  | free/reduced | none               |           41 |              39 |              34 |         38      |
| 425 | female   | White - Any other White background | some college                  | free/reduced | none               |           62 |              67 |              62 |         63.6667 |
| 426 | male     | White - Any other White background | bachelor's degree             | standard     | none               |           86 |              83 |              86 |         85      |
| 427 | male     | White - Any other White background | some high school              | free/reduced | none               |           69 |              71 |              65 |         68.3333 |
| 428 | male     | White - British                    | some high school              | free/reduced | none               |           65 |              59 |              53 |         59      |
| 429 | male     | White - Any other White background | some high school              | free/reduced | none               |           68 |              63 |              54 |         61.6667 |
| 430 | male     | White - Any other White background | associate's degree            | free/reduced | none               |           64 |              66 |              59 |         63      |
| 431 | female   | White - Any other White background | high school                   | standard     | none               |           61 |              72 |              70 |         67.6667 |
| 432 | male     | White - Any other White background | high school                   | standard     | none               |           61 |              56 |              55 |         57.3333 |
| 433 | female   | White - British                    | some high school              | free/reduced | none               |           47 |              59 |              50 |         52      |
| 434 | male     | White - Any other White background | some high school              | standard     | none               |           73 |              66 |              66 |         68.3333 |
| 435 | male     | White - Any other White background | some college                  | free/reduced | completed          |           50 |              48 |              53 |         50.3333 |
| 436 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           75 |              68 |              64 |         69      |
| 437 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           75 |              66 |              73 |         71.3333 |
| 438 | male     | White - Any other White background | high school                   | standard     | none               |           70 |              56 |              51 |         59      |
| 439 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           89 |              88 |              82 |         86.3333 |
| 440 | female   | White - Any other White background | some college                  | standard     | completed          |           67 |              81 |              79 |         75.6667 |
| 441 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           78 |              81 |              80 |         79.6667 |
| 442 | female   | White - British                    | some high school              | free/reduced | none               |           59 |              73 |              69 |         67      |
| 443 | female   | White - Irish                      | associate's degree            | standard     | none               |           73 |              83 |              76 |         77.3333 |
| 444 | male     | White - British                    | some high school              | free/reduced | none               |           79 |              82 |              73 |         78      |
| 445 | female   | White - Any other White background | some high school              | standard     | completed          |           67 |              74 |              77 |         72.6667 |
| 446 | male     | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           69 |              66 |              60 |         65      |
| 447 | male     | White - Any other White background | high school                   | standard     | completed          |           86 |              81 |              80 |         82.3333 |
| 448 | male     | White - Irish                      | high school                   | standard     | none               |           47 |              46 |              42 |         45      |
| 449 | male     | White - Irish                      | associate's degree            | standard     | none               |           81 |              73 |              72 |         75.3333 |
| 450 | female   | White - Any other White background | some college                  | free/reduced | completed          |           64 |              85 |              85 |         78      |
| 451 | female   | Mixed - White and Black African    | some college                  | standard     | none               |          100 |              92 |              97 |         96.3333 |
| 452 | female   | White - Any other White background | associate's degree            | free/reduced | none               |           65 |              77 |              74 |         72      |
| 453 | male     | White - Any other White background | some college                  | free/reduced | none               |           65 |              58 |              49 |         57.3333 |
| 454 | female   | White - Any other White background | associate's degree            | free/reduced | none               |           53 |              61 |              62 |         58.6667 |
| 455 | male     | White - Any other White background | bachelor's degree             | free/reduced | none               |           37 |              56 |              47 |         46.6667 |
| 456 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           79 |              89 |              89 |         85.6667 |
| 457 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           53 |              54 |              48 |         51.6667 |
| 458 | female   | Mixed - White and Black African    | bachelor's degree             | standard     | none               |          100 |             100 |             100 |        100      |
| 459 | male     | White - Irish                      | high school                   | standard     | completed          |           72 |              65 |              68 |         68.3333 |
| 460 | male     | White - Any other White background | bachelor's degree             | free/reduced | none               |           53 |              58 |              55 |         55.3333 |
| 461 | male     | White - Irish                      | some college                  | free/reduced | none               |           54 |              54 |              45 |         51      |
| 462 | female   | Mixed - White and Black African    | some college                  | standard     | none               |           71 |              70 |              76 |         72.3333 |
| 463 | female   | White - Any other White background | some college                  | free/reduced | none               |           77 |              90 |              91 |         86      |
| 464 | male     | White - British                    | bachelor's degree             | standard     | completed          |           75 |              58 |              62 |         65      |
| 465 | female   | White - Any other White background | some college                  | standard     | none               |           84 |              87 |              91 |         87.3333 |
| 466 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           26 |              31 |              38 |         31.6667 |
| 467 | male     | White - British                    | high school                   | free/reduced | completed          |           72 |              67 |              65 |         68      |
| 468 | female   | White - British                    | high school                   | free/reduced | completed          |           77 |              88 |              85 |         83.3333 |
| 469 | male     | White - Any other White background | some college                  | standard     | none               |           91 |              74 |              76 |         80.3333 |
| 470 | female   | White - Any other White background | associate's degree            | standard     | completed          |           83 |              85 |              90 |         86      |
| 471 | female   | White - Any other White background | high school                   | standard     | none               |           63 |              69 |              74 |         68.6667 |
| 472 | female   | White - Any other White background | associate's degree            | standard     | completed          |           68 |              86 |              84 |         79.3333 |
| 473 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           59 |              67 |              61 |         62.3333 |
| 474 | female   | White - Irish                      | associate's degree            | standard     | completed          |           90 |              90 |              91 |         90.3333 |
| 475 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | completed          |           71 |              76 |              83 |         76.6667 |
| 476 | male     | Mixed - White and Black African    | bachelor's degree             | standard     | completed          |           76 |              62 |              66 |         68      |
| 477 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           80 |              68 |              72 |         73.3333 |
| 478 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           55 |              64 |              70 |         63      |
| 479 | male     | Mixed - White and Black African    | associate's degree            | standard     | none               |           76 |              71 |              67 |         71.3333 |
| 480 | male     | White - Irish                      | high school                   | standard     | completed          |           73 |              71 |              68 |         70.6667 |
| 481 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           52 |              59 |              56 |         55.6667 |
| 482 | male     | White - Any other White background | some college                  | free/reduced | none               |           68 |              68 |              61 |         65.6667 |
| 483 | male     | White - British                    | high school                   | standard     | none               |           59 |              52 |              46 |         52.3333 |
| 484 | female   | White - Irish                      | associate's degree            | standard     | none               |           49 |              52 |              54 |         51.6667 |
| 485 | male     | White - Any other White background | high school                   | standard     | none               |           70 |              74 |              71 |         71.6667 |
